Amount	FirstDigit	SecondDigit	FirstTwo
$77.80	7	7	77
$34.97	3	4	34
$59.00	5	9	59
$59.56	5	9	59
$50.38	5	0	50
$26.57	2	6	26
$102.17	1	0	10
$25.19	2	5	25
$37.31	3	7	37
$74.17	7	4	74
$55.22	5	5	55
$40.55	4	0	40
$41.79	4	1	41
$55.29	5	5	55
$63.66	6	3	63
$71.41	7	1	71
$49.00	4	9	49
$94.29	9	4	94
$28.34	2	8	28
$28.09	2	8	28
$46.64	4	6	46
$49.91	4	9	49
$34.22	3	4	34
$32.12	3	2	32
$75.98	7	5	75
$68.41	6	8	68
$25.86	2	5	25
$90.17	9	0	90
$38.68	3	8	38
$42.56	4	2	42
$142.22	1	4	14
$27.83	2	7	27
$94.72	9	4	94
$430.15	4	3	43
"$1,966.98"	1	9	19
"$8,186.22"	8	1	81
"$8,378.22"	8	3	83
"$18,469.21"	1	8	18
$403.36	4	0	40
"$12,712.43"	1	2	12
$147.80	1	4	14
"$7,512.55"	7	5	75
"$10,239.22"	1	0	10
"$10,287.80"	1	0	10
"$10,969.46"	1	0	10
"$7,641.42"	7	6	76
"$1,917.15"	1	9	19
"$2,044.96"	2	0	20
$932.91	9	3	93
$145.58	1	4	14
$98.19	9	8	98
"$7,529.28"	7	5	75
"$1,166.29"	1	1	11
$41.42	4	1	41
$31.01	3	1	31
$62.15	6	2	62
$46.73	4	6	46
$32.23	3	2	32
"$9,919.25"	9	9	99
"$10,870.42"	1	0	10
$806.20	8	0	80
$767.75	7	6	76
$806.66	8	0	80
"$1,171.45"	1	1	11
$26.49	2	6	26
$32.71	3	2	32
$38.00	3	8	38
$180.52	1	8	18
$44.05	4	4	44
$75.70	7	5	75
$33.91	3	3	33
$50.42	5	0	50
$40.45	4	0	40
$81.07	8	1	81
$43.86	4	3	43
$51.33	5	1	51
$153.00	1	5	15
$69.59	6	9	69
$38.54	3	8	38
$73.90	7	3	73
$64.67	6	4	64
$44.17	4	4	44
$56.62	5	6	56
$33.00	3	3	33
$32.16	3	2	32
$34.36	3	4	34
$27.91	2	7	27
$52.16	5	2	52
$32.48	3	2	32
$54.41	5	4	54
$26.24	2	6	26
$87.64	8	7	87
$38.00	3	8	38
$61.66	6	1	61
$49.63	4	9	49
$82.00	8	2	82
$139.43	1	3	13
$43.77	4	3	43
$30.30	3	0	30
$29.69	2	9	29
$41.52	4	1	41
$99.66	9	9	99
$113.34	1	1	11
$166.68	1	6	16
$67.71	6	7	67
$57.76	5	7	57
$117.22	1	1	11
$27.26	2	7	27
$25.51	2	5	25
$49.07	4	9	49
$63.63	6	3	63
$50.80	5	0	50
$83.67	8	3	83
$38.45	3	8	38
$40.53	4	0	40
$42.57	4	2	42
$47.48	4	7	47
$32.25	3	2	32
$53.52	5	3	53
$40.06	4	0	40
$36.30	3	6	36
$82.79	8	2	82
$66.59	6	6	66
$28.59	2	8	28
$65.30	6	5	65
$133.53	1	3	13
$49.70	4	9	49
$127.47	1	2	12
$49.27	4	9	49
$114.78	1	1	11
$41.67	4	1	41
$126.30	1	2	12
$31.72	3	1	31
$102.16	1	0	10
$40.94	4	0	40
$42.56	4	2	42
$25.18	2	5	25
$46.85	4	6	46
$29.10	2	9	29
$34.12	3	4	34
$25.55	2	5	25
$56.31	5	6	56
$66.10	6	6	66
$76.90	7	6	76
$32.90	3	2	32
$426.46	4	2	42
$95.53	9	5	95
$50.49	5	0	50
$53.64	5	3	53
$50.45	5	0	50
$30.18	3	0	30
$47.42	4	7	47
$43.25	4	3	43
$64.14	6	4	64
$40.28	4	0	40
$37.76	3	7	37
$82.06	8	2	82
$36.52	3	6	36
$38.44	3	8	38
$136.29	1	3	13
$42.29	4	2	42
$46.35	4	6	46
"$9,027.43"	9	0	90
$85.11	8	5	85
$38.62	3	8	38
$87.83	8	7	87
$58.77	5	8	58
$43.93	4	3	43
$182.82	1	8	18
$29.22	2	9	29
$53.59	5	3	53
$55.05	5	5	55
$37.57	3	7	37
$59.22	5	9	59
$43.04	4	3	43
$55.93	5	5	55
$52.75	5	2	52
$50.27	5	0	50
$65.76	6	5	65
$122.55	1	2	12
$92.90	9	2	92
"$85,091.91"	8	5	85
$38.18	3	8	38
$30.23	3	0	30
$82.83	8	2	82
$33.53	3	3	33
$40.55	4	0	40
$64.20	6	4	64
$37.57	3	7	37
